no,sku,asin,currentPrice,invDays,units7d,profitRate,priority,why
6,HAY1931,B0CT31XTGF,24.99,2,16,27.1%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
14,MK0522,B07RW8LK7F,12.99,6,16,15.1%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
11,WEN1029,B0CQYV4J5Y,17.99,5,15,25.4%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
62,KZ6074,B0D479Z4QQ,7.99,26,15,16.9%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
86,JUU1053,B0D86ZCLMH,17.99,18,15,24.1%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
8,SE6621,B0DQ5LDKDH,18.99,3,13,30.4%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
94,QAA3142,B0F4R59VVV,16.99,18,13,39.1%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
25,TH2599,B0B2RZVFCK,14.99,8,11,30.9%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
49,YMF1073,B0F13F91SQ,8.99,22,11,29.5%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
75,QA3173,B0CP2948QH,18.99,14,10,32.6%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
26,LNE1322,B0DSZD4VV5,33.99,9,9,21.1%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
59,SE7586,B0FNQ9RFR1,17.99,25,8,21.4%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
78,RHO1540,B0GLPCPFK9,12.99,11,7,22.4%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
85,WE3925,B0FPQ86F1C,18.99,30,7,20.0%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
91,QAA4200,B0FM3ZN2BK,34.99,17,6,42.0%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
28,TH2870,B0D4QWFQ23,20.99,10,5,30.2%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
52,YUN2646,B0F191MR54,21.99,13,5,21.9%,A ???+??+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
66,QAA1779,B0FJDXK7SW,11.99,16,4,26.5%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
96,SC3527,B0CGV7S8V9,26.99,21,4,33.8%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
9,NEW1818,B0CLDJBXG2,8.99,3,3,23.2%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
13,XIA3242,B0FHQ32H5R,19.99,4,3,24.0%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
1,DON4521,B0FNRBG3LQ,9.99,0,2,34.8%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
10,TH2824,B0C4P5VHJQ,20.99,4,2,32.2%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
22,LE8163,B0GGRXJY9R,30.99,12,2,29.1%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
2,GM3210,B0GGZYQ8TH,13.99,0,1,15.7%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
3,XLN0347,B0DT6B8RRC,9.99,0,1,23.5%,B ???+???????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
79,SH0423,B07S22D2CS,12.99,48,71,4.8%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
24,KV0324,B0B27MJTJT,16.99,11,49,14.0%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
45,SC3077,B0CGV57T53,23.99,26,45,2.5%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
33,OCE1413,B0FHK5GS4F,13.99,13,29,12.5%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
27,SHQ3949,B0GT3G8ZL7,31.99,36,17,14.8%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
58,SH0422,B07S114HGR,11.99,51,17,1.1%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
19,HAY1900,B0CT32947T,51.44,10,15,9.9%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
65,HAY0219,B0CGDVGP2S,28.99,30,15,10.7%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
31,YUN2686,B0DZXJ5JWT,18.47,16,12,2.4%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
90,IF1427,B0CBBMCHW3,29.99,58,11,13.6%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
51,YUT3183,B0D3PKTJWT,39.99,15,9,12.6%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
80,KEJ0561,B0D8L4LSWB,37.99,71,9,0.6%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
20,GM3213,B0GGZR3ZFV,8.99,5,7,10.3%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
42,JIN1883,B0CJJNWMT8,72.99,30,7,7.4%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
68,LED3942,B0DT3VC3SP,13.99,17,7,4.3%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
40,IF0653,B0BRSTD1GJ,22.99,27,6,11.6%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
70,BOY3381,B0F6711T8J,17.99,34,6,3.5%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
37,YUT2840,B0BDRJ2D98,40.99,10,5,0.9%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
50,QA2082,B0BNHR76GJ,30.99,11,4,10.8%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
43,QA2085,B0BNHP29PY,37.99,75,2,9.0%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
77,YAN2287,B0C3VNYNBJ,8.99,27,2,1.6%,C ??????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
71,SAN0149,B0B8HH4JMS,39.99,27,34,-22.1%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
73,LAY2384,B0DWFPQFFM,15.99,42,27,16.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
34,UAN3644,B0DH1ZVTKH,25.99,27,26,-4.6%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
87,GT3814,B0CYPWR9J8,15.99,31,22,27.6%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
30,DN3049,B0D8B4Q956,70.99,19,20,-5.3%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
55,GM3068,B0FZTT66W8,11.99,33,19,23.6%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
84,GT4431,B0G2LY9D4X,14.99,45,19,27.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
92,RT3172,B0F8NTC523,15.99,64,15,27.6%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
35,SIJ2012,B0CHDSG76N,54.99,22,14,-45.1%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
38,UAN3248,B0D261HWGC,26.24,11,14,-3.5%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
46,DUN1391,B0CJ5GF9VP,47.99,57,13,-51.3%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
47,AE2139,B0BKZNTVSS,37.99,20,13,-6.7%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
53,XIH2672,B0FJR6KCR1,39.99,32,12,-22.7%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
69,CLO0344,B0D2L2HGD4,26.24,29,12,-2.6%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
21,OB4139,B0GJRV1TCQ,31.49,6,10,-15.8%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
29,BOY3355,B0F3CQ55M3,15.99,40,10,-4.3%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
82,LIC8799,B0FVFNY5VJ,15.99,36,10,27.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
12,PIR4617,B0F3XFYKZP,28.99,10,9,-8.7%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
36,YUT2590,B0BDL42VW7,73.49,19,8,-24.0%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
95,DAY2984,B0FLJZCGP2,9.99,47,8,39.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
44,LEM6581,B0FXVC4W6W,37.99,23,7,-15.6%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
48,YUT3185,B0D3PVD8QN,45.99,18,7,-4.8%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
54,YY4568,B0B9FS6Q22,41.99,47,7,-47.0%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
72,GGN2452,B0CJJRTLFL,61.99,48,7,-44.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
81,DUN1128,B0CH8SB9DJ,39.99,87,7,-44.7%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
83,YUN2188,B0DV48NW74,21.99,16,5,-14.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
93,DUN1392,B0CJ53ZB7Y,60.99,42,5,-20.1%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
7,FA4843,B0BNPWK4JQ,7.99,8,4,-21.2%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
67,DUN1394,B0CJ514RH8,75.99,28,4,-53.1%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
76,WOO0173,B0CDLQJTFN,29.39,17,4,-5.5%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
97,DUN1127,B0CH8QTQLG,39.99,51,4,-29.6%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
23,AE2138,B0BKZPJVLZ,46.99,15,2,-38.1%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
60,DN2685,B0CLYHR4KZ,60.89,9,2,-19.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
61,AE2140,B0BKZNMQS8,40.99,36,2,-24.4%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
4,DN2437,B0CCJF7KZS,58.99,0,1,-23.9%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
16,GT2432,B0BNHZMWGP,36.99,15,1,-44.1%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
32,PIR4610,B0F3XHZVDT,22.99,20,1,-24.0%,D ???/??????????????????,Ful+Res inventory cannot cover 30 days at current 7d sales velocity; harvest profit before adding traffic.
